n,sparsity,seed,solution_gurobi,value_gurobi,gurobi_tte
2,0.5,333,01,-100.0,0.0714
2,1.0,333,01,-100.0,0.01
3,0.5,333,101,-100.0,0.0147
3,1.0,333,101,-100.0,0.014
4,0.5,333,0111,-147.85,0.0212
4,1.0,333,0011,-147.85,0.019
5,0.5,333,01110,-71.29,0.024
5,1.0,333,11000,-147.85,0.019
6,0.5,333,000001,-20.46,0.026
6,1.0,333,001110,-147.85,0.0255
7,0.5,333,1000000,-22.91,0.1048
7,1.0,333,1101001,-147.85,0.03
8,0.5,333,11001110,-13.85,0.0375
8,1.0,333,10001001,-147.85,0.0369
9,0.5,333,001001000,-188.72,0.0858
9,1.0,333,111101110,-147.85,0.0408
10,0.5,333,1110111011,-121.02,0.1243
10,1.0,333,1111011100,-147.85,0.048
11,0.5,333,00011000010,-216.08,0.1054
11,1.0,333,11110111001,-189.16,0.056
12,0.5,333,101001011111,-294.16,0.1403
12,1.0,333,001011011010,-189.16,0.0668
13,0.5,333,1110111111100,-297.77,0.1609
13,1.0,333,1111011101101,-189.16,0.0738
14,0.5,333,11001101101011,-364.49,0.1904
14,1.0,333,00111110110111,-189.16,0.0868
15,0.5,333,110101011111111,-539.22,0.1829
15,1.0,333,001111101110111,-189.16,0.0969
16,0.5,333,1110100111111111,-351.13,0.2452
16,1.0,333,0010110110011101,-189.16,0.109
17,0.5,333,11111101111110101,-500.01,0.224
17,1.0,333,00110110011101101,-189.16,0.116
18,0.5,333,111010000111011110,-523.2,0.2824
18,1.0,333,110000011000010010,-253.06,0.134
19,0.5,333,1011110010000111010,-558.2,0.3036
19,1.0,333,1100000110000101001,-253.06,0.1409
20,0.5,333,11011111101111101011,-652.06,0.3873
20,1.0,333,00010101111110111100,-340.43,0.1575
21,0.5,333,111101111110010111101,-917.31,0.5857
21,1.0,333,111010100010011000110,-406.37,0.1744
22,0.5,333,0101010100111100001110,-918.32,0.3671
22,1.0,333,0011100111111100011100,-450.72,0.1915
23,0.5,333,10000001110010011011010,-1251.06,0.3729
23,1.0,333,10000000110010101010101,-450.72,0.2013
24,0.5,333,000001000100111100101001,-1665.1,0.4075
24,1.0,333,011111110011010111001011,-450.72,0.2154
25,0.5,333,1110101000111111011100100,-1374.31,0.5521
25,1.0,333,0111100100111101111010100,-450.72,0.24
26,0.5,333,11011110000001100101111111,-1194.02,0.6058
26,1.0,333,00000110100000001110111011,-450.72,0.2546
27,0.5,333,100011110010101101100111100,-1418.19,0.577
27,1.0,333,010001101100001111101110111,-450.72,0.2752
28,0.5,333,1111001001100110110010101011,-1281.4,0.731
28,1.0,333,0011100101111101011011010101,-450.72,0.2935
29,0.5,333,10101111111111111100110100011,-1918.6,0.6441
29,1.0,333,11000110100000101001011010100,-549.86,0.3075
30,0.5,333,110100000011111100100111100010,-1800.79,0.8927
30,1.0,333,001110010111110101101001010111,-549.86,0.3239
31,0.5,333,0011001000110100100110101001000,-1910.51,0.8134
31,1.0,333,0011100101111101011011100101110,-625.98,0.3355
32,0.5,333,00100100101000010000101100101010,-1810.77,1.2048
32,1.0,333,11100100011100110110100100110000,-625.98,0.476
33,0.5,333,101101110010110110011110010011111,-2576.15,0.8156
33,1.0,333,110110101100000010001100110011111,-625.98,0.3694
34,0.5,333,0000111101011001101000111010110001,-2270.75,1.0308
34,1.0,333,0001111111110101100101111111111010,-643.04,0.3938
35,0.5,333,00000010000010010110000011101101101,-2460.84,1.0806
35,1.0,333,00110001001101001111011010100110100,-683.72,0.4319
36,0.5,333,001110001011000100101001101110010010,-2914.97,1.3933
36,1.0,333,000110101000100010010110111001100111,-683.72,0.458
37,0.5,333,1011101101101110100010011101110100010,-3288.17,1.219
37,1.0,333,0101101001000000100101010100111101111,-683.72,0.461
38,0.5,333,11001011010100010111001011101001010110,-3096.71,1.4616
38,1.0,333,10011011111101001001011001100111001011,-689.23,0.485
39,0.5,333,001000110110101110001000000111010101100,-3001.15,1.8322
39,1.0,333,100110111111010010010110011001110010011,-702.81,0.5141
40,0.5,333,0001001101101110010001011000100100011001,-3271.06,1.4659
40,1.0,333,1110000101101110011110101000000001001001,-702.81,0.5518
41,0.5,333,01111001110100001011000111101110001111110,-3625.52,1.6061
41,1.0,333,11001011111101001001001011101110100011000,-702.81,0.6365
42,0.5,333,111110111101101011100101010010100110011001,-2985.48,4.0717
42,1.0,333,110010010100010000010010010001001000000001,-702.81,0.5919
43,0.5,333,0010001110001010011000101011110111001011011,-3215.62,1.8314
43,1.0,333,0011010000111001011101000001110101010011101,-702.81,0.6095
44,0.5,333,01101001101101011000001010100011110111000001,-3611.73,2.3603
44,1.0,333,00110100001110010111110000010101110101101011,-786.93,0.6382
45,0.5,333,111100111101011000011111111110101011101011000,-3536.09,4.8944
45,1.0,333,110000000001010000011000101010000100011000011,-883.59,0.6716
46,0.5,333,1010011001011001101101011000011001111010001110,-3731.53,5.1619
46,1.0,333,1100000000010100000110001010100001000110001010,-978.91,0.698
47,0.5,333,00001100111011011100010110000000010111001010111,-4302.58,2.5547
47,1.0,333,00010111111100111101011100010111101110011100000,-978.91,0.7916
48,0.5,333,110110010010011100000101010101011100011000101111,-4532.0,5.5372
48,1.0,333,100101111111000011010111100000001110110101010000,-1040.4,0.7735
49,0.5,333,0100101010111010000000100000101011111100100010101,-4761.82,5.3935
49,1.0,333,0110100000001111001010000111111100010010001101111,-1113.67,0.8076
50,0.5,333,10100110010001110110000101000000010010011100111001,-4660.22,3.2812
50,1.0,333,11101000000011001010100011000000010010011011101110,-1116.93,0.8381
51,0.5,333,010101000001001001010111100000110111000011111001001,-4921.77,5.7724
51,1.0,333,000101111111001101010111001111111011101111011001000,-1159.81,9.9032
52,0.5,333,0010001010001100111001111010101111111010010000011110,-5231.81,8.3373
52,1.0,333,1001011111110011010101110011111111101110011000001000,-1159.81,0.9318
53,0.5,333,10110111010001001011111101101001111001001001111010110,-5514.42,7.2116
53,1.0,333,10010111111100110101011100111111111011001101010001000,-1188.29,0.9557
54,0.5,333,101101100111101010011100110110001101101100010011011001,-5258.1,11.4342
54,1.0,333,000111010001111101010111010101110101100110100100010110,-1197.31,0.9842
55,0.5,333,1010110110110100111110010111111111000100101101011011010,-5206.01,13.9199
55,1.0,333,1101110100011111010101111101011111000010100010001010011,-1208.92,1.0385
56,0.5,333,01110111101101100010101001010011110010001011101100001100,-5161.3,13.3142
56,1.0,333,10110101000001101110011110101110110011110001111101101101,-1208.92,1.0829
57,0.5,333,110011101001101101110111100001010001010000110111111010001,-5065.03,20.5088
57,1.0,333,001101010000010111100111001110010101011110001110110111100,-1208.92,1.1321
58,0.5,333,1101100001001100011010001111111100100110010010011001011001,-5685.57,12.1591
58,1.0,333,1011010100000101111001111011100101001111100011111111111100,-1208.92,1.2164
59,0.5,333,11101111011111110100110100010101111100111111111100100010010,-5609.28,26.1393
59,1.0,333,00110101000001011110011100111001010101011000111011011111010,-1232.14,1.9256
60,0.5,333,100011101011011110010100100100111100111101011011100000010110,-6189.97,35.6166
60,1.0,333,101101010000010011100111101110000100101110001111111111111001,-1232.14,1.727
61,0.5,333,1110111010111101100010111100000011101011010101111111000111111,-6106.02,47.058
61,1.0,333,1011110100011100011111111101100110100000000111011111110111101,-1232.14,1.4503
62,0.5,333,01100100100011101110111100011010111000010101001100011110001010,-7178.74,18.0294
62,1.0,333,11100011101000000010001010000000000000000110001110111010111111,-1232.14,1.4354
63,0.5,333,100011011010111110111010000110011111011101110110111000100010111,-6286.66,65.4772
63,1.0,333,000101100110101111010100001111100101100011001010000001010010101,-1232.14,1.3915
64,0.5,333,1111101010011111111111011010100001011000100010111000110010111011,-6330.03,50.5896
64,1.0,333,0100010001101100101100011001001010001000110010011100001111011111,-1232.14,1.6093
65,0.5,333,00111101101100010100100100011011010011101000011110110111100101100,-6751.66,65.9532
65,1.0,333,01010101101001010001100010001100010000011110100111110110011011111,-1232.14,1.9865
66,0.5,333,110100010101010001001010000010000001101110100001011011000011011111,-6736.99,79.0865
66,1.0,333,110000000001111000100001001100110010001000011110001110001011100000,-1232.14,1.517
67,0.5,333,0110000110110011111011110101010111111100101110100010011110011100001,-7599.43,48.7116
67,1.0,333,0000010100001111001100000100001010000010011001000111101010000000111,-1232.14,1.6148
68,0.5,333,11110001111010111110001010010101010010010100000010000011111011000000,-7482.16,119.0641
68,1.0,333,00111110100011001011101011101010010111001010011000110110011011001100,-1272.94,1.7006
69,0.5,333,111011110111100000001100101101111101101011011100111101000111110001110,-7813.3,103.9041
69,1.0,333,011111101110100011011010000100110101010001001000011000011101001000010,-1272.94,1.7528
70,0.5,333,0001000010110000101011001011100101111010111000001101110001110110001001,-7778.75,335.4496
70,1.0,333,1000000100010111001001000110110010101011101101111001111000101101011101,-1272.94,1.8387
71,0.5,333,11110000111110000111011000000101010001000011110001001100000111100100111,-8828.06,89.2061
71,1.0,333,10000001000111110010010001101110100010111011011000011110001111010011001,-1328.33,1.8167
72,0.5,333,110111011001111011110100101111110110111100110111100101101010001101010111,-8561.12,643.9449
72,1.0,333,110000000111110110000101011100111000100111010110010011111101110111100011,-1328.33,1.8506
73,0.5,333,0011001100101100010111110000101111101001010010011010011100001110001011101,-9190.54,345.7342
73,1.0,333,1001000010011101000010000011111001100000101100000101000001100111000000000,-1427.35,1.9896
74,0.5,333,01110000001000000010110110001100011100111001101111100010111010110100100100,-10028.28,86.2382
74,1.0,333,00111110110010111011101011011111010101000000101000101001011011001100100010,-1427.35,1.9363
75,0.5,333,100111111101011101011111001110010110110001000001100011110010111110000111110,-9533.15,561.1337
75,1.0,333,111110111011010111101010010000000101010101111101111101100110010110100011001,-1480.11,2.0078
76,0.5,333,0010000111111011011101101000000101100011000001101011001111010010001010000101,-9802.92,560.6911
76,1.0,333,1100000000111101010001011110001011101010011100000001111010010001100010110010,-1480.11,2.8199
77,0.5,333,01000111000001111010000001011100000101101000111000011001010101001100110100001,-9723.5,1372.034
77,1.0,333,00111110110000111011101000011101010101011000101111101001011011100101010011110,-1491.3,2.1672
78,0.5,333,011110111101010100011001110110110000000101001100011110111000111001110100110101,-10735.3,231.4955
78,1.0,333,011011110110101011110111000000111001111011001110011011111001101101110011110011,-1507.68,2.1881
79,0.5,333,0111000110011101010101111000001110101100010011110100001101101001011011011110010,-10085.13,1652.2728
79,1.0,333,1111101110111101111010110100011001011100011111010101011001100001101001110001001,-1519.03,3.1351
80,0.5,333,11110001111101011001101101110001000011010110011111010100110101111010011110001101,-10450.87,1589.923
80,1.0,333,01000100010000100001010110111001101010111000001010101001100111100101100101101110,-1563.37,2.3523
81,1.0,333,101110111011110111101010010001100101010001111101010101100110000110100110100100010,-1602.86,2.3484
82,1.0,333,0000010001000010000101001011100110100011100000101010100110011110000110000010111011,-1602.86,2.5146
83,1.0,333,01000100010000100001010110110001001010111100001010101011101011110000100110101100111,-1620.96,2.4424
84,1.0,333,111000110111001101000001000110000111101101111100011001110010010101111111101011110000,-1660.72,2.5394
85,1.0,333,0011111010001010001111101110101100010100110010111001001011111110110100000101000011011,-1683.99,2.5391
86,1.0,333,00111110100010100011111000100011100101001000101110010000011011001101110000110000001111,-1729.45,2.6856
87,1.0,333,001101101000101000011100001010110001000011001011100000100110110111011100001100100001111,-1729.45,2.6801
88,1.0,333,0011011010001010000111000010101100010000110010111000001001101101110111000011001000011111,-1729.45,2.8673
89,1.0,333,01101111011010110111001100110011110111001000111011110100011111000111111101100001001011000,-1729.45,2.8686
90,1.0,333,001001110110001000010001000010010001000011001011110001000110110101111010101000011100110000,-1729.45,2.9753
91,1.0,333,1100000101110100110000001111010010101010001100011100101101010001001001111110111101100000101,-1782.49,13.0035
92,1.0,333,11100011101100110000100100100101101100111001110111000101100100111111111101101011111111010111,-1782.49,3.0471
93,1.0,333,111100111011100101001000001100101111101111110101011000010011111011111111100110110011101011110,-1842.64,3.0582
94,1.0,333,0001110011001100111111101101001011001100011000100011101010101100000000000101000000100111011010,-1842.64,3.3561
95,1.0,333,11110011101110010100100000111010011110111111010101100001001011101111101111011011000111010101110,-1845.95,3.6298
96,1.0,333,100010000101011110100111001010010000010000011111100111101110010000001000010001001000001000000011,-1845.95,3.4434
97,1.0,333,1000000101111111110000000011101001101011001111100100001001100100011011100101101111000100000100110,-1845.95,3.8791
98,1.0,333,00101110010000100011011111001101000101001000100110111111110010101100000011000100100110010011000001,-1845.95,3.608
99,1.0,333,001101111110000101011000000100001011101010100100110000110011011110111010011010111110101001110010111,-1899.04,4.0928
100,1.0,333,1101100010011110101011111110111101000101010110110011110010011001010001011001010000010111111011011010,-1975.64,4.1568
101,1.0,333,00001100000011001011011111001111010001000100001100111101110010001001001010010000010001101010111000010,-2046.53,4.0089
102,1.0,333,101010100101101100100111001000101111010101111100001111100110110101011100011101001010101100010001000011,-2130.44,3.7174
103,1.0,333,0111011111100010000110010000000110010011000010001110010100110100101111011010111110101111011010101111100,-2130.44,3.7778
104,1.0,333,11001000001101001010001111100001110001000101001010110110111011010100000110110101001001100010010100010100,-2215.79,4.1419
105,1.0,333,011011110101100101000111010110100111011110010100011000011110101110101111001111101000100110111001010000010,-2215.79,4.4937
106,1.0,333,0010011101010011011101000101110001111011110111101111101101010100011111100101111011011011000100000010100001,-2215.79,4.625
107,1.0,333,00110111110100100111110101010101111100101111101011111000000001000111111010111010111111011100000010101111001,-2282.63,4.7416
108,1.0,333,100100100010010001001111101101101001000110100111000010001010100100001100111001110101011001010100110110011110,-2282.63,5.1275
109,1.0,333,1001100011001010000010001110011001000100010001101011011010010010111000001101100000000001010101001110000010000,-2282.63,4.8279
110,1.0,333,01100001101100100110111111010001001010100011011101100000001001000101011100000111110100000110101000010001000100,-2320.73,4.7463
111,1.0,333,010011011011001100101101110010010010011100110011011000000010010001010111000000111000000001101010000100110000100,-2405.97,4.8099
112,1.0,333,0111001101011110110100110001111100110000100101001111101011001010010011010000000010011110101011011000001010110001,-2405.97,4.753
113,1.0,333,01011000101100110110110011111000110011110001001100000001001101011110000110111111101001001101100010011110100000110,-2502.95,15.7141
114,1.0,333,010110001011001101101100111110001100111100010011000010010011010111100001101111111010010011011000100111101000000111,-2519.8,4.8362
115,1.0,333,1010011110101100110111100111101010111011100011011101111110111011000001100110001111111101110110010111010101011100101,-2589.06,4.7116
116,1.0,333,11000111101011111101111001111010101110111010000111111110101110100100011101100011011111100111101100111010011011101101,-2589.06,4.8189
117,1.0,333,101001010100100100000010110001111010100001101010111111110100000010000100000001001110001101100100000011010101111010011,-2589.06,4.9226
118,1.0,333,1000010101001001000000101100011110101000001010101111011001010000100101000100010011100010010101000000011001101111010010,-2647.17,4.9631
119,1.0,333,00010011111111101101111101110010001100101001010111111001011110010100001000100111100111000110111110011011110000100101111,-2647.17,5.0436
120,1.0,333,110011100100010111110000110110010101110011101000000001101111000111110011110111000001100100111111011011010000111011111010,-2727.53,5.181
121,1.0,333,1000010000100000000001111000110111000001010011100011001111000111111111000011001111100110010010000111000000001111011011100,-2788.12,5.2026
122,1.0,333,01010000001110110001011110000011110000011111000010111000101010111111111110011111011001110100001110011111101001010101110100,-2788.12,5.2784
123,1.0,333,001100000111100100000110100000111100100111011010101101001011001001101010111101110110011000100100100100101011011010100111100,-2835.08,5.3898
124,1.0,333,0111100111010000001010010010000010100111101111110100100110111010000010111110110010100110001101101000010011110010101000100001,-2835.08,5.4185
125,1.0,333,00010011111100101111110000001000101110101101010101010001111100010000111010001011111011010011011111111011101001010100001000110,-2835.08,5.6182
126,1.0,333,010100011101000000001010110101000010001010111111010000010101111010000111100000000000000111010100101000011000011100111000100000,-2835.08,5.8243
127,1.0,333,0101000111010000000110101101010000100010101111010100100101011110000001110000000000000001110101011010110110100100001110001100000,-2876.35,5.729
128,1.0,333,01110011111110010101111100100100101001101110100100011000110100001111000101110010011110001111100010111011010100111111011110011100,-2909.33,5.8425
129,1.0,333,011110000111001001000011000011110011001101111100000110011101101111011101110010010111010101111010111001000001111111101110011101011,-2909.33,5.9983
130,1.0,333,0111001111111001010111110010010010100110111010010001110010010000111100010111001001111000111110001011101101010011111101111000111000,-2909.33,6.0626
131,1.0,333,01111000011100100100001100001111001100110111110000011001110110111101110111001001011101010111101011100100000111111110111001110110011,-2985.58,6.2281
132,1.0,333,011110000111001001000001000011110011001101111100000110011101000111010101111110010111000101110010111000001010111111111010000100010101,-3062.69,18.1541
133,1.0,333,0101111111111111010011110010111100111011110010000000111110111000101101101101100101110111010000011111010110111101001010100110110100011,-3108.14,6.304
134,1.0,333,01010001011100110101101100100100101010100101100000001000110110001101010011010010011011100100001111111101011100010010001100011011110111,-3108.14,6.4299
135,1.0,333,000100010111001101011011001011001010101001111000000111001001000011010100111000100111011000001000011111011011001100100011001011010011011,-3160.55,6.4971
136,1.0,333,1101110000000100101000011101101101111001000101101110001101101101000001110000110111010111010111011000010001101110011111100001000101000100,-3178.53,6.6512
137,1.0,333,10101000000000001010001010010010010100010001010011100011111101011001010101001101110010010010111101000000101110001100110000111100010010011,-3178.53,6.7174
138,1.0,333,010101010110010110001011101000100011001100011100100011001011111111000011001110011100010111010101011100111110101110110111011000001110101011,-3178.53,6.7667
139,1.0,333,0001111111101101100011111000001000111011101111000001100110001111111000110011100111010011100001001011001101011111000100110011000000110110110,-3191.66,6.8254
140,1.0,333,01000111111011011000111010100010001110111000111010001000101101011110111100111001100001010101010101110011011011110001000111100010001001110110,-3237.21,6.9769
141,1.0,333,001101000110010010000011101000100011011100111001000111000011010110011110010010011000001100111100101000001110001111100011101000110111100001111,-3237.21,7.0734
142,1.0,333,0011011011101100100101011010001000110111101110010001100000110101101111100100100110000011001111001010000011100011011000111010001101111100001111,-3237.21,7.2409
143,1.0,333,10100010100010111011111010011010011100011001000010001010110111001010000000111101100110111101010110110111100010001010010110110101001100111100000,-3237.21,7.3041
144,1.0,333,000011100111111001010100010001100001011111101101111100100111101001111111010110010111011100100010010001000111100111100001011110110100111110010101,-3335.75,7.2968
145,1.0,333,0110111001111110010101100000001000011111110011011110001001111010111111110100100100110111111010110100010001111011011000011001111111000101011111111,-3335.75,7.4287
146,1.0,333,10100010100010111011111010011010011100011001000010001010110111001010000000111101100110111101010110110111100010001010010110110100100110111110010000,-3335.75,7.5028
147,1.0,333,101100011000000110111011100111100111000100110010100111111101111000001000001111011001101111000100101101111000100000110111101101000000111001101000111,-3371.47,7.8304
148,1.0,333,0110011001111110010001100010010110001010111011001111001000100011011111111111001000100010110110100100011011110011110010001110101011110011011010110100,-3371.47,7.8246
149,1.0,333,10101001100000011011100011011110011101010011000110011001110111000000000000011101110111010110110010111001000010000001010101110101010111010001100001111,-3414.2,8.1384
150,1.0,333,100010011000000110111010100111100111010100110001000110011101110000000000000011011101110100100100101110010000110000110101001101010000110101011100010101,-3448.31,21.5832
151,1.0,333,1100100110000001101110001101111001111101000100010000100111011100000000000000110111011101101001010011100110001100000001010011011010000111001100110100010,-3500.48,8.1555
152,1.0,333,10110011100000111010110111111001110001001001001100001101100001111000110110011110100101001101011111111001110001001101111011100011010011001011010110110101,-3500.48,8.307
153,1.0,333,110100011000000111101001111100011100110001010011110001011000011110001101100011101001010010011111111100010001000011011110101001110001010010110111011111000,-3567.08,8.43
154,1.0,333,1000100100000000111000101011100111000000010101001100000110001101100100001101011011010100101111111110001001100010010110000000001101011101010000001001110000,-3567.08,8.5924
155,1.0,333,11011110000111100101011100101011001110011111000010101110001100111010001001100101011011100011100010000110010010100010111111001100011010111100011110111011001,-3651.7,8.6902
156,1.0,333,010010001111100100111000011111010111111100011111011100000110101101110001000100110110110010101101110101010110011101011101111100110111001000011111000000000010,-3651.7,8.8399
157,1.0,333,0011001111110011001011110001001011000010100111001111011100111000110111011001100000110011110001110101101110011001111100100010000110011101010010000101110100010,-3651.7,8.8399
158,1.0,333,00000001111100010010101000010010110000100011111011100011001100001001110110001000001100111000111001011011000110011111010001100111101111001100000000001110000000,-3651.7,8.9135
159,1.0,333,110011011001010101011010001010010011110101010111101110110001001110000010001001110110111010101011000110011000100010001101110001111001010011011111100110000110111,-3678.13,9.3104
160,1.0,333,0111101101110011001011010101011011001010100110000111011101100000000111011101100000110011011101011101011001111111011100100011100011111111101010110001011100000010,-3678.13,9.2314
161,1.0,333,01011000011010001011001110111101011111110000100111010100111001010011110101110011100011000011111110101100111010111100101101110100100000111101111100000100001001011,-3678.13,9.2078
162,1.0,333,000010000111100100111010001111010111011100111011111000000110100101111101011100110010110010101110100111001110001111001001011100011001001001010100000101001010011111,-3727.94,9.3753
163,1.0,333,0111001101110011001111010111110101111011101110001110010101101011010100010110001101101100110001100001110011000001111010111011001100110111000001101000011110111111010,-3740.53,9.6414
