seed, qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_formulation_time,connection_time,embedding_time,response_time,sample_fetch_time,n,sparsity
333,137000.0,20.0,27.92,152926.36,690.64,15926.36,20.58,1.0,1.0,0.00799560546875,2.6634554862976074,0.0339968204498291,0.021622896194458008,0.006815433502197266,2,0.0
333,146320.0,20.0,32.58,162246.36,538.64,15926.36,20.58,1.0,1.0,0.0,2.106062173843384,0.044982194900512695,0.02910923957824707,0.0,3,0.0
333,167000.0,20.0,42.92,182926.36,770.64,15926.36,20.58,18.0,18.0,0.0,1.9052560329437256,0.03412675857543945,0.021219730377197266,0.0008604526519775391,4,0.0
333,197920.0,20.0,58.38,213846.76,888.24,15926.76,20.58,56.0,56.0,0.003082752227783203,2.0380892753601074,0.032901763916015625,0.033720970153808594,0.0,5,0.0
333,159680.0,20.0,39.26,175606.36,498.64,15926.36,20.58,1.0,1.0,0.0,1.9254558086395264,0.03349637985229492,0.031308650970458984,0.0,6,0.0
333,147800.0,20.0,33.32,163726.36,771.64,15926.36,20.58,1.0,1.0,0.0,2.0885908603668213,0.026857614517211914,0.050371646881103516,0.0,7,0.0
333,171480.0,20.0,45.16,187406.76,932.24,15926.76,20.58,1.0,1.0,0.0,1.9161155223846436,0.0545496940612793,0.044913291931152344,0.0,8,0.0
333,169240.0,20.0,44.04,185166.76,901.24,15926.76,20.58,12.0,12.0,0.0,1.9699840545654297,0.22675395011901855,0.0345606803894043,0.0010073184967041016,9,0.0
333,192680.0,20.0,55.76,208605.96,812.04,15925.96,20.58,1.0,1.0,0.0027399063110351562,1.916069507598877,0.03321242332458496,0.06973028182983398,0.0,10,0.0
333,179880.0,20.0,49.36,195806.76,1035.24,15926.76,20.58,1.0,1.0,0.0,1.9442470073699951,0.03566908836364746,0.07090234756469727,0.0010006427764892578,11,0.0
333,194680.0,20.0,56.76,210606.36,747.64,15926.36,20.58,1.0,1.0,0.0,2.1337687969207764,0.047261714935302734,0.0763387680053711,0.0,12,0.0
333,162760.0,20.0,40.8,178685.96,1642.04,15925.96,20.58,1.0,1.0,0.0,2.1174263954162598,0.031248807907104492,0.11284565925598145,0.0,13,0.0
333,194520.0,20.0,56.68,210446.36,1169.64,15926.36,20.58,1.0,1.0,0.0,1.9630987644195557,0.03697609901428223,0.13505792617797852,0.0,14,0.0
333,196600.0,20.0,57.72,212525.96,1433.04,15925.96,20.58,44.0,44.0,0.0,2.348571538925171,0.03556394577026367,0.16024208068847656,0.0,15,0.0
333,193880.0,20.0,56.36,209805.56,982.44,15925.56,20.58,1.0,1.0,0.0,2.0278825759887695,0.04689836502075195,0.2221534252166748,0.0,16,0.0
333,198840.0,20.0,58.84,214766.36,696.64,15926.36,20.58,1.0,1.0,0.015631437301635742,2.1372649669647217,0.03205752372741699,0.2969367504119873,0.0,17,0.0
333,269840.0,20.0,94.34,285765.96,1098.04,15925.96,20.58,64.0,64.0,0.015733718872070312,2.808520555496216,0.038370370864868164,0.26256537437438965,0.001104116439819336,18,0.0
333,283920.0,20.0,101.38,299845.96,1435.04,15925.96,20.58,75.0,75.0,0.0,2.4187543392181396,0.04727506637573242,0.3002142906188965,0.0,19,0.0
333,177240.0,20.0,48.04,193166.36,2048.64,15926.36,20.58,12.0,12.0,0.015639066696166992,2.154372215270996,0.0341334342956543,0.46842384338378906,0.0,20,0.0
333,211960.0,20.0,65.4,227886.36,1224.64,15926.36,20.58,1.0,1.0,0.01701521873474121,1.9484498500823975,0.03354334831237793,0.4577209949493408,0.015447616577148438,21,0.0
333,166640.0,20.0,42.74,182566.36,1285.64,15926.36,20.58,1.0,1.0,0.015716552734375,1.9112317562103271,0.03318357467651367,0.6397325992584229,0.0,22,0.0
333,210080.0,20.0,64.46,226004.36,1668.64,15924.36,20.58,1.0,1.0,0.018418312072753906,1.856659173965454,0.03509688377380371,0.7095608711242676,0.0,23,0.0
333,216720.0,20.0,67.78,232644.76,1840.24,15924.76,20.58,44.0,44.0,0.015730619430541992,2.1044676303863525,0.03997087478637695,0.6642475128173828,0.0,24,0.0
333,210200.0,20.0,64.52,226126.36,1845.64,15926.36,20.58,66.0,66.0,0.015735387802124023,1.9178409576416016,0.049065351486206055,1.0048413276672363,0.0,25,0.0
333,220800.0,20.0,69.82,236723.96,1455.04,15923.96,20.58,91.0,91.0,0.01712942123413086,1.888092041015625,0.04416918754577637,0.7147636413574219,0.0,26,0.0
333,224080.0,20.0,71.46,240005.16,1581.84,15925.16,20.58,1.0,1.0,0.023442983627319336,1.8985905647277832,0.046975135803222656,0.5762758255004883,0.0,27,0.0
333,212960.0,20.0,65.9,228884.36,1264.64,15924.36,20.58,1.0,1.0,0.01167154312133789,2.3852696418762207,0.031206130981445312,1.5544993877410889,0.0,28,0.0
333,193760.0,20.0,56.3,209682.36,1586.64,15922.36,20.58,39.0,39.0,0.01792621612548828,1.9576201438903809,0.04176735877990723,1.445812463760376,0.0010051727294921875,29,0.0
333,223680.0,20.0,71.26,239602.76,4040.24,15922.76,20.58,65.0,65.0,0.019245147705078125,1.9171509742736816,0.041269540786743164,1.8122763633728027,0.0,30,0.0
333,200760.0,20.0,59.8,216685.16,1610.84,15925.16,20.58,58.0,58.0,0.034713029861450195,2.1403591632843018,0.0496983528137207,1.4320001602172852,0.0010025501251220703,31,0.0
333,227560.0,20.0,73.2,243483.96,1845.04,15923.96,20.58,1.0,1.0,0.013298988342285156,2.068880319595337,0.03393125534057617,1.6338577270507812,0.0,32,0.0
333,220640.0,20.0,69.74,236563.96,1482.04,15923.96,20.58,1.0,1.0,0.01562976837158203,1.9353468418121338,0.047347068786621094,1.0796394348144531,0.0,33,0.0
333,230840.0,20.0,74.84,246764.76,1756.24,15924.76,20.58,1.0,1.0,0.04037952423095703,2.9472782611846924,0.04551839828491211,4.197693109512329,0.0,34,0.0
333,229440.0,20.0,74.14,245364.36,1668.64,15924.36,20.58,399.0,399.0,0.03126120567321777,2.1348536014556885,0.03178071975708008,1.5359492301940918,0.0010008811950683594,35,0.0
333,212200.0,20.0,65.52,228125.96,1738.04,15925.96,20.58,1.0,1.0,0.041532039642333984,2.1841840744018555,0.04247784614562988,3.4347050189971924,0.0,36,0.0
333,205280.0,20.0,62.06,221203.96,2081.04,15923.96,20.58,1.0,1.0,0.031258583068847656,2.1635477542877197,0.04260969161987305,3.431711196899414,0.00014853477478027344,37,0.0
333,221960.0,20.0,70.4,237883.96,1049.04,15923.96,20.58,40.0,40.0,0.04557347297668457,2.113452434539795,0.03482532501220703,1.7212274074554443,0.0,38,0.0
333,192160.0,20.0,55.5,208084.76,1632.24,15924.76,20.58,1.0,1.0,0.03919649124145508,3.0269386768341064,0.03125119209289551,2.5155065059661865,0.0003590583801269531,39,0.0
333,213560.0,20.0,66.2,229483.56,1589.44,15923.56,20.58,250.0,250.0,0.03882932662963867,2.1194121837615967,0.029765605926513672,2.0520336627960205,0.0,40,0.0
333,223440.0,20.0,71.14,239363.96,2193.04,15923.96,20.58,62.0,62.0,0.041814565658569336,2.1782386302948,0.03135418891906738,3.5430779457092285,0.0,41,0.0
333,237960.0,20.0,78.4,253884.36,1809.64,15924.36,20.58,44.0,44.0,0.0501556396484375,2.220651388168335,0.04750990867614746,3.4670825004577637,0.0,42,0.0
333,214840.0,20.0,66.84,230765.56,2001.44,15925.56,20.58,1.0,1.0,0.053296804428100586,2.3271467685699463,0.06350278854370117,5.788903474807739,0.0010001659393310547,43,0.0
333,301320.0,20.0,110.08,317245.16,1736.84,15925.16,20.58,34.0,34.0,0.044649362564086914,1.989029884338379,0.046878814697265625,5.282572984695435,0.0010006427764892578,44,0.0
333,214040.0,20.0,66.44,229966.36,3007.64,15926.36,20.58,25.0,25.0,0.06306338310241699,3.1128406524658203,0.05585455894470215,3.0762906074523926,0.0010039806365966797,45,0.0
333,192280.0,20.0,55.56,208204.76,1044.24,15924.76,20.58,29.0,29.0,0.0671529769897461,2.001304864883423,0.04999065399169922,8.151994228363037,0.0009999275207519531,46,0.0
333,209360.0,20.0,64.1,225281.96,1874.04,15921.96,20.58,33.0,33.0,0.06728696823120117,1.9506821632385254,0.04991602897644043,4.716597557067871,0.0,47,0.0
333,297640.0,20.0,108.24,313564.36,1708.64,15924.36,20.58,6.0,6.0,0.06698417663574219,2.370734930038452,0.046143293380737305,8.316468238830566,0.0,48,0.0
111,326400.0,20.0,122.62,342327.56,2121.44,15927.56,20.58,19.0,19.0,0.07997965812683105,1.9898533821105957,0.05199432373046875,5.127474308013916,0.0010023117065429688,49,0.0
111,255360.0,20.0,87.1,271288.36,2451.64,15928.36,20.58,1.0,1.0,0.06750845909118652,2.326376438140869,0.034999847412109375,19.424870491027832,0.004964113235473633,50,0.0
111,240920.0,20.0,79.88,256847.16,2200.84,15927.16,20.58,41.0,41.0,0.21137046813964844,2.3679563999176025,0.08542037010192871,16.63212299346924,0.0011072158813476562,51,0.0
333,151840.0,20.0,35.34,167599.96,1771.04,15759.96,20.58,1.0,1.0,0.0030012130737304688,2.2118308544158936,0.05805230140686035,0.026561260223388672,0.0009987354278564453,2,0.5
333,147080.0,20.0,32.96,163007.16,697.84,15927.16,20.58,18.0,18.0,0.0009949207305908203,2.0966153144836426,0.06276869773864746,0.029098987579345703,0.0010180473327636719,2,1.0
333,140400.0,20.0,29.62,156159.96,1544.04,15759.96,20.58,1.0,1.0,0.0010302066802978516,2.072166681289673,0.055432796478271484,0.026088714599609375,0.0,3,0.5
333,165120.0,20.0,41.98,181047.16,513.84,15927.16,20.58,1.0,1.0,0.0020270347595214844,2.0859029293060303,0.06463122367858887,0.028033971786499023,0.0009999275207519531,3,1.0
333,135760.0,20.0,27.3,151519.56,2137.44,15759.56,20.58,1.0,1.0,0.001998424530029297,2.0997118949890137,0.05413007736206055,0.028679609298706055,0.0005321502685546875,4,0.5
333,167000.0,20.0,42.92,182926.76,700.24,15926.76,20.58,60.0,60.0,0.0019648075103759766,2.2060816287994385,0.05452466011047363,0.029509305953979492,0.0006661415100097656,4,1.0
333,188840.0,20.0,53.84,204600.36,1052.64,15760.36,20.58,1.0,1.0,0.0019981861114501953,2.2474427223205566,0.06104469299316406,0.031604766845703125,0.000995635986328125,5,0.5
333,157360.0,20.0,38.1,173287.16,654.84,15927.16,20.58,1.0,1.0,0.0028793811798095703,2.201392412185669,0.061075687408447266,0.03108811378479004,0.0,5,1.0
333,149640.0,20.0,34.24,165567.56,741.44,15927.56,20.58,31.0,31.0,0.0030279159545898438,1.9316473007202148,0.0629720687866211,0.03217124938964844,0.000995635986328125,6,0.5
333,151520.0,20.0,35.18,167279.96,1171.04,15759.96,20.58,1.0,1.0,0.0020170211791992188,2.092830181121826,0.058001041412353516,0.027942895889282227,0.0009989738464355469,6,1.0
333,229680.0,20.0,74.26,245439.96,950.04,15759.96,20.58,34.0,34.0,0.002969980239868164,2.0645627975463867,0.05551481246948242,0.037008047103881836,0.0010328292846679688,7,0.5
333,187000.0,20.0,52.92,202759.96,806.04,15759.96,20.58,1.0,1.0,0.0020599365234375,2.208096981048584,0.06597518920898438,0.03257918357849121,0.0010075569152832031,7,1.0
333,184080.0,20.0,51.46,200007.16,684.84,15927.16,20.58,19.0,19.0,0.004985809326171875,2.2235660552978516,0.06154775619506836,0.04405069351196289,0.0010027885437011719,8,0.5
333,161840.0,20.0,40.34,177767.56,766.44,15927.56,20.58,1.0,1.0,0.0030133724212646484,2.192841053009033,0.05852150917053223,0.032025814056396484,0.001016378402709961,8,1.0
333,211800.0,20.0,65.32,227559.96,989.04,15759.96,20.58,68.0,68.0,0.005998373031616211,2.2218570709228516,0.061550140380859375,0.052239179611206055,0.0009999275207519531,9,0.5
333,178320.0,20.0,48.58,194247.16,716.84,15927.16,20.58,29.0,29.0,0.003000974655151367,2.0984420776367188,0.058519601821899414,0.03152942657470703,0.001001596450805664,9,1.0
333,237200.0,20.0,78.02,252959.96,1257.04,15759.96,20.58,1.0,1.0,0.002997875213623047,1.9921817779541016,0.05899786949157715,0.05864453315734863,0.0009992122650146484,10,0.5
333,151000.0,20.0,34.92,166927.16,597.84,15927.16,20.58,24.0,24.0,0.002504587173461914,2.238515853881836,0.06112098693847656,0.03271055221557617,0.0009975433349609375,10,1.0
333,205480.0,20.0,62.16,221240.36,1408.64,15760.36,20.58,44.0,44.0,0.00827479362487793,2.269015312194824,0.06374764442443848,0.055126190185546875,0.0010819435119628906,11,0.5
333,161360.0,20.0,40.1,177287.16,677.84,15927.16,20.58,34.0,34.0,0.002013683319091797,2.192650079727173,0.09822249412536621,0.041124582290649414,0.0009946823120117188,11,1.0
333,358440.0,20.0,138.64,374200.76,1351.24,15760.76,20.58,1.0,1.0,0.003997325897216797,2.08085560798645,0.06189727783203125,0.08269953727722168,0.0010876655578613281,12,0.5
333,167280.0,20.0,43.06,183207.16,918.84,15927.16,20.58,1.0,1.0,0.0029973983764648438,1.9817183017730713,0.05955028533935547,0.03600025177001953,0.0010046958923339844,12,1.0
333,178960.0,20.0,48.9,194887.56,1127.44,15927.56,20.58,94.0,94.0,0.00904083251953125,4.9553141593933105,0.05903339385986328,0.09061217308044434,0.0009996891021728516,13,0.5
333,285240.0,20.0,102.04,301000.76,1903.24,15760.76,20.58,1.0,1.0,0.00201416015625,2.232658863067627,0.06503057479858398,0.03461956977844238,0.001001596450805664,13,1.0
333,170120.0,20.0,44.48,186047.96,1156.04,15927.96,20.58,1.0,1.0,0.004123210906982422,2.25510311126709,0.06000685691833496,0.11702799797058105,0.0,14,0.5
333,223720.0,20.0,71.28,239479.56,1280.44,15759.56,20.58,1.0,1.0,0.002004861831665039,2.244499683380127,0.06750774383544922,0.03900337219238281,0.0009887218475341797,14,1.0
333,173800.0,20.0,46.32,189726.36,1012.64,15926.36,20.58,1.0,1.0,0.004889965057373047,2.260897397994995,0.06299757957458496,0.12903189659118652,0.0010008811950683594,15,0.5
333,196840.0,20.0,57.84,212767.16,6362.84,15927.16,20.58,122.0,122.0,0.0030024051666259766,2.2444396018981934,0.05851340293884277,0.03600001335144043,0.0009703636169433594,15,1.0
333,346400.0,20.0,132.62,362160.76,1787.24,15760.76,20.58,1.0,1.0,0.004998683929443359,2.123607873916626,0.05751299858093262,0.20702099800109863,0.001001119613647461,16,0.5
333,194000.0,20.0,56.42,209927.56,8807.44,15927.56,20.58,1.0,1.0,0.0019636154174804688,2.2530477046966553,0.06754517555236816,0.03802132606506348,0.0010080337524414062,16,1.0
333,294920.0,20.0,106.88,310679.96,1790.04,15759.96,20.58,1.0,1.0,0.006079435348510742,2.258195161819458,0.058345794677734375,0.16669368743896484,0.0010035037994384766,17,0.5
333,247800.0,20.0,83.32,263727.96,817.04,15927.96,20.58,41.0,41.0,0.0030167102813720703,2.3371119499206543,0.06030416488647461,0.03811907768249512,0.0009760856628417969,17,1.0
333,376480.0,20.0,147.66,392239.96,2551.04,15759.96,20.58,23.0,23.0,0.006212472915649414,2.2303967475891113,0.057000160217285156,0.1656632423400879,0.0,18,0.5
333,197680.0,20.0,58.26,213604.36,1117.64,15924.36,20.58,1.0,1.0,0.001990795135498047,2.0826635360717773,0.0585637092590332,0.03809046745300293,0.0010030269622802734,18,1.0
333,281400.0,20.0,100.12,297324.36,1143.64,15924.36,20.58,10.0,10.0,0.005995273590087891,2.388638496398926,0.056001901626586914,0.287261962890625,0.0,19,0.5
333,188600.0,20.0,53.72,204360.36,1433.64,15760.36,20.58,1.0,1.0,0.0031197071075439453,1.9700310230255127,0.058228492736816406,0.039003610610961914,0.001013040542602539,19,1.0
333,177840.0,20.0,48.34,193764.36,1466.64,15924.36,20.58,1.0,1.0,0.006984233856201172,2.1469318866729736,0.05873441696166992,0.3465592861175537,0.0008916854858398438,20,0.5
333,207400.0,20.0,63.12,223160.76,1650.24,15760.76,20.58,1.0,1.0,0.004512310028076172,2.189603805541992,0.060508012771606445,0.037956953048706055,0.0010006427764892578,20,1.0
333,190400.0,20.0,54.62,206323.16,1857.84,15923.16,20.58,1.0,1.0,0.008129119873046875,2.239531993865967,0.05646777153015137,0.5101699829101562,0.0,21,0.5
333,246120.0,20.0,82.48,261879.96,1864.04,15759.96,20.58,1.0,1.0,0.0019989013671875,2.118328094482422,0.06179094314575195,0.040915727615356445,0.000997304916381836,21,1.0
333,161000.0,20.0,39.92,176923.96,1670.04,15923.96,20.58,1.0,1.0,0.007006406784057617,1.9978196620941162,0.05884528160095215,0.4531416893005371,0.0009999275207519531,22,0.5
333,150440.0,20.0,34.64,166363.96,1075.04,15923.96,20.58,43.0,43.0,0.0030167102813720703,2.20381760597229,0.05902099609375,0.03885507583618164,0.000997304916381836,22,1.0
333,301320.0,20.0,110.08,317080.36,1775.64,15760.36,20.58,1.0,1.0,0.008041143417358398,2.2106776237487793,0.0586705207824707,0.5800611972808838,0.0,23,0.5
333,209120.0,20.0,63.98,224880.36,1494.64,15760.36,20.58,1.0,1.0,0.0035064220428466797,2.247418165206909,0.06050252914428711,0.04202127456665039,0.0,23,1.0
333,177160.0,20.0,48.0,193084.76,1337.24,15924.76,20.58,1.0,1.0,0.00899815559387207,1.9756715297698975,0.06251740455627441,0.33055710792541504,0.0009999275207519531,24,0.5
333,175760.0,20.0,47.3,191684.36,2233.64,15924.36,20.58,1.0,1.0,0.003999471664428711,2.0956003665924072,0.06183505058288574,0.04396247863769531,0.0010018348693847656,24,1.0
333,208160.0,20.0,63.5,223920.36,2562.64,15760.36,20.58,1.0,1.0,0.011003255844116211,2.2108330726623535,0.07260918617248535,0.4998350143432617,0.0010008811950683594,25,0.5
333,190440.0,20.0,54.64,206364.36,1052.64,15924.36,20.58,94.0,94.0,0.0039980411529541016,2.198861598968506,0.06447601318359375,0.045000553131103516,0.0009999275207519531,25,1.0
333,185840.0,20.0,52.34,201765.16,11474.84,15925.16,20.58,52.0,52.0,0.011156082153320312,2.0757529735565186,0.058686256408691406,0.6366260051727295,0.0009996891021728516,26,0.5
333,205240.0,20.0,62.04,221000.76,1497.24,15760.76,20.58,38.0,38.0,0.004998683929443359,2.3139543533325195,0.06855368614196777,0.04799985885620117,0.0,26,1.0
333,305240.0,20.0,112.04,321000.36,2034.64,15760.36,20.58,1.0,1.0,0.012016534805297852,2.2086522579193115,0.0629887580871582,0.843740701675415,0.0008873939514160156,27,0.5
333,200400.0,20.0,59.62,216324.36,1437.64,15924.36,20.58,5.0,5.0,0.0040204524993896484,2.2940404415130615,0.056862592697143555,0.0440216064453125,0.0009987354278564453,27,1.0
333,299760.0,20.0,109.3,315519.16,2167.84,15759.16,20.58,1.0,1.0,0.012998104095458984,2.1959779262542725,0.06151151657104492,0.8758335113525391,0.0010056495666503906,28,0.5
333,201760.0,20.0,60.3,217684.36,1015.64,15924.36,20.58,1.0,1.0,0.004078865051269531,2.1295669078826904,0.0796511173248291,0.05003833770751953,0.0010876655578613281,28,1.0
333,207880.0,20.0,63.36,223805.16,1578.84,15925.16,20.58,1.0,1.0,0.012999773025512695,2.4485161304473877,0.06909441947937012,0.6689331531524658,0.0,29,0.5
333,240640.0,20.0,79.74,256399.96,1876.04,15759.96,20.58,1.0,1.0,0.004107236862182617,2.239476442337036,0.07306075096130371,0.05599093437194824,0.0009999275207519531,29,1.0
333,199600.0,20.0,59.22,215524.36,1764.64,15924.36,20.58,56.0,56.0,0.01500082015991211,2.203446626663208,0.06458592414855957,1.2874863147735596,0.0009999275207519531,30,0.5
333,286560.0,20.0,102.7,302319.96,1633.04,15759.96,20.58,1.0,1.0,0.003998279571533203,5.591912269592285,0.06710290908813477,0.0520169734954834,0.0010023117065429688,30,1.0
333,408480.0,20.0,163.66,424239.56,2730.44,15759.56,20.58,1.0,1.0,0.014997482299804688,2.1175382137298584,0.0619204044342041,0.6084067821502686,0.001123666763305664,31,0.5
333,220960.0,20.0,69.9,236719.96,1503.04,15759.96,20.58,1.0,1.0,0.005122661590576172,2.0487329959869385,0.08341240882873535,0.05600094795227051,0.0,31,1.0
333,224920.0,20.0,71.88,240842.76,1410.24,15922.76,20.58,54.0,54.0,0.015998125076293945,2.2168197631835938,0.061742544174194336,0.8630964756011963,0.000997304916381836,32,0.5
333,350760.0,20.0,134.8,366520.36,1690.64,15760.36,20.58,1.0,1.0,0.004999399185180664,2.1259567737579346,0.06333494186401367,0.04994964599609375,0.0,32,1.0
333,202320.0,20.0,60.58,218243.16,1638.84,15923.16,20.58,1.0,1.0,0.016001224517822266,2.098689556121826,0.060217857360839844,1.7965807914733887,0.0,33,0.5
333,253960.0,20.0,86.4,269719.96,1531.04,15759.96,20.58,56.0,56.0,0.004999637603759766,2.1555087566375732,0.06685948371887207,0.04804801940917969,0.0010006427764892578,33,1.0
333,318320.0,20.0,118.58,334079.96,4259.04,15759.96,20.58,19.0,19.0,0.01751422882080078,2.1792221069335938,0.06276845932006836,0.8475229740142822,0.0010020732879638672,34,0.5
333,164200.0,20.0,41.52,180124.36,1137.64,15924.36,20.58,17.0,17.0,0.0040166378021240234,2.150733709335327,0.06710195541381836,0.05400252342224121,0.0009996891021728516,34,1.0
333,329680.0,20.0,124.26,345442.36,3425.64,15762.36,20.58,118.0,118.0,0.01772928237915039,2.1903393268585205,0.06850910186767578,3.010728359222412,0.0010209083557128906,35,0.5
333,211480.0,20.0,65.16,227241.16,1563.84,15761.16,20.58,46.0,46.0,0.005045175552368164,2.0782973766326904,0.06174182891845703,0.054999351501464844,0.0010020732879638672,35,1.0
333,230080.0,20.0,74.46,246004.36,2373.64,15924.36,20.58,1.0,1.0,0.0195310115814209,2.1287765502929688,0.06251287460327148,1.4722886085510254,0.0010035037994384766,36,0.5
333,311480.0,20.0,115.16,327239.96,2120.04,15759.96,20.58,32.0,32.0,0.005015373229980469,2.037841320037842,0.07260799407958984,0.057117462158203125,0.0,36,1.0
333,217080.0,20.0,67.96,233004.76,1655.24,15924.76,20.58,93.0,93.0,0.019509315490722656,2.1003332138061523,0.08002281188964844,2.237520456314087,0.0010547637939453125,37,0.5
333,241960.0,20.0,80.4,257719.96,1621.04,15759.96,20.58,14.0,14.0,0.004997730255126953,2.1637845039367676,0.06200718879699707,0.054952144622802734,0.0009918212890625,37,1.0
333,307920.0,20.0,113.38,323846.36,2235.64,15926.36,20.58,1.0,1.0,0.02200031280517578,2.2414629459381104,0.06799125671386719,1.4319887161254883,0.0,38,0.5
333,231200.0,20.0,75.02,246959.56,1650.44,15759.56,20.58,1.0,1.0,0.019372940063476562,2.177129030227661,0.06351137161254883,0.05500030517578125,0.0,38,1.0
333,244080.0,20.0,81.46,259840.36,2712.64,15760.36,20.58,1.0,1.0,0.023999691009521484,2.2207441329956055,0.06352400779724121,1.9500319957733154,0.0,39,0.5
333,199840.0,20.0,59.34,215764.36,1369.64,15924.36,20.58,28.0,28.0,0.006021976470947266,3.0824923515319824,0.06073904037475586,0.05683159828186035,0.0,39,1.0
333,195000.0,20.0,56.92,210925.16,1624.84,15925.16,20.58,24.0,24.0,0.023024797439575195,2.2450366020202637,0.06438231468200684,2.5547454357147217,0.0,40,0.5
333,296920.0,20.0,107.88,312680.36,2334.64,15760.36,20.58,1.0,1.0,0.00500035285949707,1.9970388412475586,0.06524777412414551,0.06052088737487793,0.0010004043579101562,40,1.0
333,303680.0,20.0,111.26,319606.36,2223.64,15926.36,20.58,11.0,11.0,0.02400064468383789,2.181471109390259,0.07300162315368652,2.223053216934204,0.0009999275207519531,41,0.5
333,197120.0,20.0,57.98,212880.36,1710.64,15760.36,20.58,14.0,14.0,0.00499725341796875,2.2198331356048584,0.06600832939147949,0.06009840965270996,0.0009698867797851562,41,1.0
333,229840.0,20.0,74.34,245765.16,1892.84,15925.16,20.58,1.0,1.0,0.02510976791381836,2.1726064682006836,0.07453632354736328,4.474368333816528,0.001004934310913086,42,0.5
333,333760.0,20.0,126.3,349519.96,1913.04,15759.96,20.58,125.0,125.0,0.005998134613037109,2.3199400901794434,0.07990002632141113,0.06399989128112793,0.0009982585906982422,42,1.0
333,269640.0,20.0,94.24,285401.16,3375.84,15761.16,20.58,263.0,263.0,0.02458810806274414,2.239509344100952,0.06782245635986328,4.1718385219573975,0.0009980201721191406,43,0.5
333,277400.0,20.0,98.12,293324.76,6074.24,15924.76,20.58,1.0,1.0,0.0049970149993896484,2.2881572246551514,0.06278085708618164,0.060106754302978516,0.0010004043579101562,43,1.0
333,218120.0,20.0,68.48,234043.96,1794.04,15923.96,20.58,1.0,1.0,0.027001619338989258,2.1337509155273438,0.07000350952148438,8.983299016952515,0.001001119613647461,44,0.5
333,212440.0,20.0,65.64,228199.16,1763.84,15759.16,20.58,1.0,1.0,0.0050084590911865234,2.136786460876465,0.07101035118103027,0.0615537166595459,0.0,44,1.0
333,281400.0,20.0,100.12,297327.56,1430.44,15927.56,20.58,20.0,20.0,0.029613733291625977,1.9908640384674072,0.06890130043029785,3.315119743347168,0.0010068416595458984,45,0.5
333,287560.0,20.0,103.2,303319.96,2614.04,15759.96,20.58,34.0,34.0,0.007013797760009766,2.1253116130828857,0.06787538528442383,0.06306910514831543,0.0010006427764892578,45,1.0
333,225200.0,20.0,72.02,241123.16,1888.84,15923.16,20.58,1.0,1.0,0.028929710388183594,2.215852737426758,0.07451128959655762,5.5061304569244385,0.0010001659393310547,46,0.5
333,312560.0,20.0,115.7,328319.96,2204.04,15759.96,20.58,1.0,1.0,0.005015373229980469,1.9834721088409424,0.07658123970031738,0.06652426719665527,0.0010023117065429688,46,1.0
333,312960.0,20.0,115.9,328883.96,2158.04,15923.96,20.58,1.0,1.0,0.03150796890258789,2.2808194160461426,0.06573200225830078,5.908203125,0.0010004043579101562,47,0.5
333,255480.0,20.0,87.16,271239.16,1677.84,15759.16,20.58,17.0,17.0,0.005999326705932617,2.1372270584106445,0.0695943832397461,0.0676875114440918,0.0010228157043457031,47,1.0
333,191520.0,20.0,55.18,207279.96,3491.04,15759.96,20.58,175.0,175.0,0.03351283073425293,2.296027183532715,0.06600475311279297,5.554415464401245,0.0009801387786865234,48,0.5
333,186000.0,20.0,52.42,201924.76,1047.24,15924.76,20.58,31.0,31.0,0.005990505218505859,2.2839629650115967,0.07656073570251465,0.06932806968688965,0.0009999275207519531,48,1.0
333,242880.0,20.0,80.86,258805.16,1841.84,15925.16,20.58,35.0,35.0,0.03551506996154785,2.318565607070923,0.07000851631164551,4.166672468185425,0.0009946823120117188,49,0.5
333,266480.0,20.0,92.66,282239.56,1734.44,15759.56,20.58,34.0,34.0,0.011000394821166992,2.182112693786621,0.0765841007232666,0.07452154159545898,0.0010390281677246094,49,1.0
333,296800.0,20.0,107.82,312725.96,1968.04,15925.96,20.58,56.0,56.0,0.04199409484863281,2.1894400119781494,0.0727231502532959,4.646369695663452,0.0009987354278564453,50,0.5
333,335520.0,20.0,127.18,351280.36,2194.64,15760.36,20.58,21.0,21.0,0.006996870040893555,2.223546028137207,0.07105493545532227,0.07200098037719727,0.0,50,1.0
333,257520.0,20.0,88.18,273280.36,4500.64,15760.36,20.58,24.0,24.0,0.03603196144104004,2.2716386318206787,0.06972432136535645,5.312569618225098,0.0010020732879638672,51,0.5
333,170680.0,20.0,44.76,186604.76,1399.24,15924.76,20.58,9.0,9.0,0.00700068473815918,2.079399824142456,0.06889986991882324,0.07299566268920898,0.0009999275207519531,51,1.0